"alphaCount","category","coverage","dataset","dateCoverage","dateCreated","delay","description","id","pyramidMultiplier","region","subcategory","themes","type","universe","userCount"
"0","{""id"":""fundamental"",""name"":""Fundamental""}","0","{""id"":""alpha_factor_lib"",""name"":""Equity Alpha Factor Library""}","0.9715","2026-07-01","1","An airline's fuel consumption per available seat mile (ASM), a measure of fuel efficiency.","airline_fuel_consumption_per_asm","2","DEU","{""id"":""fundamental-fundamental-data"",""name"":""Fundamental Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""fundamental"",""name"":""Fundamental""}","0","{""id"":""alpha_factor_lib"",""name"":""Equity Alpha Factor Library""}","0.9715","2026-07-01","1","An airline's total profit divided by its total Available Seat Miles (ASM), measuring profitability per unit of capacity.","airline_total_profit_per_asm","2","DEU","{""id"":""fundamental-fundamental-data"",""name"":""Fundamental Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""fundamental"",""name"":""Fundamental""}","0","{""id"":""alpha_factor_lib"",""name"":""Equity Alpha Factor Library""}","0.9715","2026-07-01","1","The average age in years of an airline's fleet, indicating operational efficiency and future capital expenditure needs.","average_age_of_aircraft","2","DEU","{""id"":""fundamental-fundamental-data"",""name"":""Fundamental Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""fundamental"",""name"":""Fundamental""}","0","{""id"":""alpha_factor_lib"",""name"":""Equity Alpha Factor Library""}","0.9715","2026-07-01","1","The growth rate in the total value of a homebuilder's backlog, representing homes under contract but not yet delivered.","backlog_homes_value_growth","2","DEU","{""id"":""fundamental-fundamental-data"",""name"":""Fundamental Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""fundamental"",""name"":""Fundamental""}","0","{""id"":""alpha_factor_lib"",""name"":""Equity Alpha Factor Library""}","0.503","2026-07-01","1","The one-year change in a bank's Modified Texas Ratio, a measure of credit stress comparing non-performing assets to tangible equity and loan loss reserves.","bank_modified_texas_ratio_1y_change","2","DEU","{""id"":""fundamental-fundamental-data"",""name"":""Fundamental Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""fundamental"",""name"":""Fundamental""}","0","{""id"":""alpha_factor_lib"",""name"":""Equity Alpha Factor Library""}","0.9715","2026-07-01","1","A bank's total assets adjusted for their associated credit risk, used in determining regulatory capital requirements.","bank_risk_weighted_assets","2","DEU","{""id"":""fundamental-fundamental-data"",""name"":""Fundamental Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""fundamental"",""name"":""Fundamental""}","0","{""id"":""alpha_factor_lib"",""name"":""Equity Alpha Factor Library""}","0.9715","2026-07-01","1","The percentage of a bank's total deposits that are held in savings and money market accounts, indicating deposit base stability.","bank_savings_money_market_deposit_share","2","DEU","{""id"":""fundamental-fundamental-data"",""name"":""Fundamental Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""fundamental"",""name"":""Fundamental""}","0","{""id"":""alpha_factor_lib"",""name"":""Equity Alpha Factor Library""}","0.9715","2026-07-01","1","A bank's core equity capital as a percentage of its total risk-weighted assets; a primary measure of financial strength.","bank_tier1_capital_ratio","2","DEU","{""id"":""fundamental-fundamental-data"",""name"":""Fundamental Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""fundamental"",""name"":""Fundamental""}","0","{""id"":""alpha_factor_lib"",""name"":""Equity Alpha Factor Library""}","0.9715","2026-07-01","1","The three-year change in a bank's ratio of total expenses to average assets, a measure of long-term efficiency trends.","bank_total_expense_to_average_assets_three_year_change","2","DEU","{""id"":""fundamental-fundamental-data"",""name"":""Fundamental Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""fundamental"",""name"":""Fundamental""}","0","{""id"":""alpha_factor_lib"",""name"":""Equity Alpha Factor Library""}","0.9715","2026-07-01","1","The one-year growth rate in the number of a telecommunications company's broadband internet subscribers.","broadband_subscribers_one_year_growth","2","DEU","{""id"":""fundamental-fundamental-data"",""name"":""Fundamental Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""fundamental"",""name"":""Fundamental""}","0","{""id"":""alpha_factor_lib"",""name"":""Equity Alpha Factor Library""}","0.9715","2026-07-01","1","The period-over-period change in the market capitalization implied by a Discounted Cash Flow (DCF) valuation model.","change_dcf_implied_market_cap","2","DEU","{""id"":""fundamental-fundamental-data"",""name"":""Fundamental Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""fundamental"",""name"":""Fundamental""}","0","{""id"":""alpha_factor_lib"",""name"":""Equity Alpha Factor Library""}","0.9715","2026-07-01","1","A valuation momentum metric representing the change in the ratio of free cash flow to market capitalization over a period.","change_free_cash_flow_to_market_cap","2","DEU","{""id"":""fundamental-fundamental-data"",""name"":""Fundamental Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""fundamental"",""name"":""Fundamental""}","0","{""id"":""alpha_factor_lib"",""name"":""Equity Alpha Factor Library""}","0.9715","2026-07-01","1","The period-over-period change in the ratio of a company's free cash flow to its total assets.","change_free_cash_flow_to_total_assets","2","DEU","{""id"":""fundamental-fundamental-data"",""name"":""Fundamental Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""fundamental"",""name"":""Fundamental""}","0","{""id"":""alpha_factor_lib"",""name"":""Equity Alpha Factor Library""}","0.9715","2026-07-01","1","The one-year growth in revenue recognized from ongoing construction projects, relevant for engineering and construction firms.","construction_in_progress_revenue_1y_growth","2","DEU","{""id"":""fundamental-fundamental-data"",""name"":""Fundamental Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""fundamental"",""name"":""Fundamental""}","0","{""id"":""alpha_factor_lib"",""name"":""Equity Alpha Factor Library""}","0.9715","2026-07-01","1","A mining industry metric representing the estimated number of years a mine can operate based on its current proven reserves and production rate.","estimated_mine_life_years","2","DEU","{""id"":""fundamental-fundamental-data"",""name"":""Fundamental Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""fundamental"",""name"":""Fundamental""}","0","{""id"":""alpha_factor_lib"",""name"":""Equity Alpha Factor Library""}","0.9715","2026-07-01","1","The change in the consensus analyst expectation for the future development and revision of an energy company's reserves.","expected_reserve_development_change_consensus","2","DEU","{""id"":""fundamental-fundamental-data"",""name"":""Fundamental Data""}","[]","VECTOR","TOP500","0"
