"alphaCount","category","coverage","dataset","dateCoverage","dateCreated","delay","description","id","pyramidMultiplier","region","subcategory","themes","type","universe","userCount"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""model135"",""name"":""Alternative technical factor models""}","1","2026-07-01","1","Trailing 10-day return for the security, as defined by the provider (simple or log), aligned to PIT discipline","mdl135_d01ntr","2","GBR","{""id"":""model-technical-models"",""name"":""Technical Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""model135"",""name"":""Alternative technical factor models""}","1","2026-07-01","1","Bollinger Bands indicator calculated with a 10-day lookback; likely refers to the band width, z-score, or similar normalized measure derived from 10-day moving average and standard deviation","mdl135_d01_bb","2","GBR","{""id"":""model-technical-models"",""name"":""Technical Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""model135"",""name"":""Alternative technical factor models""}","1","2026-07-01","1","Chaikin Money Flow over 10 days; assesses buying/selling pressure by combining price and volume (typically between -1 and +1)","mdl135_d01_fmc","2","GBR","{""id"":""model-technical-models"",""name"":""Technical Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""model135"",""name"":""Alternative technical factor models""}","1","2026-07-01","1","Commodity Channel Index over 10 days; oscillator of price deviation from its mean to identify cyclical trends, normalized","mdl135_d01_icc","2","GBR","{""id"":""model-technical-models"",""name"":""Technical Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""model135"",""name"":""Alternative technical factor models""}","1","2026-07-01","1","Force Index over 10 days; volume-weighted price movement indicator reflecting the strength of moves","mdl135_d01_if","2","GBR","{""id"":""model-technical-models"",""name"":""Technical Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""model135"",""name"":""Alternative technical factor models""}","1","2026-07-01","1","Money Flow Index calculated over a 10-day window; a volume-weighted oscillator that measures buying and selling pressure","mdl135_d01_ifm","2","GBR","{""id"":""model-technical-models"",""name"":""Technical Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""model135"",""name"":""Alternative technical factor models""}","1","2026-07-01","1","Relative Strength Index computed over a 10-day period, a momentum indicator measuring speed and change of price movements (normalized)","mdl135_d01_isr","2","GBR","{""id"":""model-technical-models"",""name"":""Technical Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""model135"",""name"":""Alternative technical factor models""}","1","2026-07-01","1","Stochastic Relative Strength Index calculated over a 10-day window; a momentum oscillator applying stochastic calculations to RSI values, used for overbought/oversold signals (original “Sell RSI” naming likely a typo)","mdl135_d01_isrs","2","GBR","{""id"":""model-technical-models"",""name"":""Technical Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""model135"",""name"":""Alternative technical factor models""}","1","2026-07-01","1","Vortex Indicator over 10 days; trend and reversal strength indicator (typically includes +VI and -VI components)","mdl135_d01_iv","2","GBR","{""id"":""model-technical-models"",""name"":""Technical Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""model135"",""name"":""Alternative technical factor models""}","1","2026-07-01","1","Negative Volume Index computed over a 10-day period, measuring price trends associated with declining trading volumes","mdl135_d01_ivn","2","GBR","{""id"":""model-technical-models"",""name"":""Technical Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""model135"",""name"":""Alternative technical factor models""}","1","2026-07-01","1","Accumulation/Distribution Line over 10 trading days, integrating price and volume to track money flow","mdl135_d01_lda","2","GBR","{""id"":""model-technical-models"",""name"":""Technical Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""model135"",""name"":""Alternative technical factor models""}","1","2026-07-01","1","Awesome Oscillator over 10 days; momentum indicator based on the difference between two moving averages of the midpoint price, normalized","mdl135_d01_oa","2","GBR","{""id"":""model-technical-models"",""name"":""Technical Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""model135"",""name"":""Alternative technical factor models""}","1","2026-07-01","1","Stochastic Oscillator over 10 days; compares close to the 10-day high–low range, typically normalized 0–100","mdl135_d01_os","2","GBR","{""id"":""model-technical-models"",""name"":""Technical Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""model135"",""name"":""Alternative technical factor models""}","1","2026-07-01","1","10-day Average True Range, a normalized measure of volatility based on recent high, low, and closing prices over the past 10 days","mdl135_d01_rta","2","GBR","{""id"":""model-technical-models"",""name"":""Technical Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""model135"",""name"":""Alternative technical factor models""}","1","2026-07-01","1","Volume Price Trend indicator computed over a 10-day window; measures cumulative volume adjusted by the direction and magnitude of price change","mdl135_d01_tpv","2","GBR","{""id"":""model-technical-models"",""name"":""Technical Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""model135"",""name"":""Alternative technical factor models""}","1","2026-07-01","1","On-Balance Volume over 10 trading days; cumulative volume flow to gauge accumulation or distribution","mdl135_d01_vbo","2","GBR","{""id"":""model-technical-models"",""name"":""Technical Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""model135"",""name"":""Alternative technical factor models""}","1","2026-07-01","1","Ease of Movement over 10 days; relates price change to volume to gauge price-volume efficiency","mdl135_d01_vme","2","GBR","{""id"":""model-technical-models"",""name"":""Technical Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""model135"",""name"":""Alternative technical factor models""}","1","2026-07-01","1","10-day Average Directional Movement Index, a normalized technical indicator that measures trend strength over a 10-day period","mdl135_d01_xda","2","GBR","{""id"":""model-technical-models"",""name"":""Technical Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""model135"",""name"":""Alternative technical factor models""}","1","2026-07-01","1","Trailing 20-trading-day return of the security (provider convention typically simple return), computed point-in-time with D1 delay","mdl135_d02ntr","2","GBR","{""id"":""model-technical-models"",""name"":""Technical Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""model135"",""name"":""Alternative technical factor models""}","1","2026-07-01","1","Bollinger Bands statistics over 20 days, such as band width or relative position within the bands","mdl135_d02_bb","2","GBR","{""id"":""model-technical-models"",""name"":""Technical Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""model135"",""name"":""Alternative technical factor models""}","1","2026-07-01","1","Chaikin Money Flow over 20 days; price-volume measure of buying/selling pressure","mdl135_d02_fmc","2","GBR","{""id"":""model-technical-models"",""name"":""Technical Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""model135"",""name"":""Alternative technical factor models""}","1","2026-07-01","1","Commodity Channel Index over 20 days; oscillator of price deviation from its mean to identify cyclical trends, normalized","mdl135_d02_icc","2","GBR","{""id"":""model-technical-models"",""name"":""Technical Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""model135"",""name"":""Alternative technical factor models""}","1","2026-07-01","1","Force Index technical indicator calculated over a 20-day period, reflecting price and volume-based momentum","mdl135_d02_if","2","GBR","{""id"":""model-technical-models"",""name"":""Technical Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""model135"",""name"":""Alternative technical factor models""}","1","2026-07-01","1","Money Flow Index calculated over a 20-day window; a volume-weighted oscillator that measures buying and selling pressure","mdl135_d02_ifm","2","GBR","{""id"":""model-technical-models"",""name"":""Technical Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""model135"",""name"":""Alternative technical factor models""}","1","2026-07-01","1","20-day Relative Strength Index, a normalized momentum indicator measuring the speed of price changes","mdl135_d02_isr","2","GBR","{""id"":""model-technical-models"",""name"":""Technical Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""model135"",""name"":""Alternative technical factor models""}","1","2026-07-01","1","Stochastic RSI (Stochastic Relative Strength Index) calculated over 20 days, measuring momentum by applying the stochastic formula to RSI values","mdl135_d02_isrs","2","GBR","{""id"":""model-technical-models"",""name"":""Technical Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""model135"",""name"":""Alternative technical factor models""}","1","2026-07-01","1","Vortex Indicator over 20 days; trend-following measure based on upward and downward price movement","mdl135_d02_iv","2","GBR","{""id"":""model-technical-models"",""name"":""Technical Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""model135"",""name"":""Alternative technical factor models""}","1","2026-07-01","1","Negative Volume Index computed over a 20-day period, emphasizing price trends on days of decreasing volume","mdl135_d02_ivn","2","GBR","{""id"":""model-technical-models"",""name"":""Technical Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""model135"",""name"":""Alternative technical factor models""}","1","2026-07-01","1","Accumulation/Distribution Line over 20 trading days, measuring cumulative money flow volume based on price and volume","mdl135_d02_lda","2","GBR","{""id"":""model-technical-models"",""name"":""Technical Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""model135"",""name"":""Alternative technical factor models""}","1","2026-07-01","1","Awesome Oscillator over 20 days; momentum indicator based on the difference between two moving averages of the midpoint price, normalized","mdl135_d02_oa","2","GBR","{""id"":""model-technical-models"",""name"":""Technical Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""model135"",""name"":""Alternative technical factor models""}","1","2026-07-01","1","Stochastic Oscillator over 20 days; compares close to the 20-day high–low range, typically normalized 0–100","mdl135_d02_os","2","GBR","{""id"":""model-technical-models"",""name"":""Technical Models""}","[]","VECTOR","TOP700","0"
