"datasetId","datasetName","region","delay","universe","fieldCount","matrixCount","vectorCount","groupCount","symbolCount","csvFile","jsonFile"
"acquisition_model","Corporate Acquisition Likelihood Model","GBR","1","TOP700","15","0","15","0","0","acquisition_model.csv","acquisition_model.json"
"ai_factor_transfer","AI Enhanced Equity Factor Transfer","GBR","1","TOP700","20","20","0","0","0","ai_factor_transfer.csv","ai_factor_transfer.json"
"ai_news_scores","AI News Sentiment Scores","GBR","1","TOP700","105","105","0","0","0","ai_news_scores.csv","ai_news_scores.json"
"alpha_factor_lib","Equity Alpha Factor Library","GBR","1","TOP700","82","0","82","0","0","alpha_factor_lib.csv","alpha_factor_lib.json"
"analyst_consensus","Standardized Analyst Consensus Forecasts","GBR","1","TOP700","1772","18","1754","0","0","analyst_consensus.csv","analyst_consensus.json"
"analyst_earnings_ibes","Global Analyst Earnings Forecasts","GBR","1","TOP700","42","42","0","0","0","analyst_earnings_ibes.csv","analyst_earnings_ibes.json"
"analyst_factor_signals","Global Analyst Factor Signals","GBR","1","TOP700","96","96","0","0","0","analyst_factor_signals.csv","analyst_factor_signals.json"
"analyst_revision_horizons","Multi Horizon Analyst Revision Signals","GBR","1","TOP700","855","855","0","0","0","analyst_revision_horizons.csv","analyst_revision_horizons.json"
"analyst10","Performance-Weighted Analyst Estimates","GBR","1","TOP700","55","40","10","0","5","analyst10.csv","analyst10.json"
"analyst15","Earnings forecasts","GBR","1","TOP700","537","533","0","0","4","analyst15.csv","analyst15.json"
"analyst16","Real Time Estimates","GBR","1","TOP700","66","0","38","0","28","analyst16.csv","analyst16.json"
"analyst35","ESG Model","GBR","1","TOP700","23","23","0","0","0","analyst35.csv","analyst35.json"
"analyst39","Analyst estimates & financial ratios","GBR","1","TOP700","24","24","0","0","0","analyst39.csv","analyst39.json"
"analyst40","Information on board of director","GBR","1","TOP700","2","0","2","0","0","analyst40.csv","analyst40.json"
"analyst44","Integrated Broker Estimates","GBR","1","TOP700","72","0","72","0","0","analyst44.csv","analyst44.json"
"analyst46","Analyst Investment insight Data","GBR","1","TOP700","5","5","0","0","0","analyst46.csv","analyst46.json"
"analyst47","Alternative Analyst Investment Insight Data","GBR","1","TOP700","5","5","0","0","0","analyst47.csv","analyst47.json"
