"alphaCount","category","coverage","dataset","dateCoverage","dateCreated","delay","description","id","pyramidMultiplier","region","subcategory","themes","type","universe","userCount"
"0","{""id"":""socialmedia"",""name"":""Social Media""}","0","{""id"":""socialmedia12"",""name"":""Sentiment Data for Equity""}","1","2026-07-01","1","The average trading volume for the security, provided as a double. This field is sourced from the 'VolAvg' column in the PulsePick files.","average_trading_volume","2","DEU","{""id"":""socialmedia-social-media"",""name"":""Social Media""}","[]","MATRIX","TOP500","0"
"0","{""id"":""socialmedia"",""name"":""Social Media""}","0","{""id"":""socialmedia12"",""name"":""Sentiment Data for Equity""}","1","2026-07-01","1","The backtested hit ratio for the corresponding trading signal, provided as a double. This field is sourced from the 'Ratio' column in the PulsePick files.","backtest_hit_ratio","2","DEU","{""id"":""socialmedia-social-media"",""name"":""Social Media""}","[]","MATRIX","TOP500","0"
"0","{""id"":""socialmedia"",""name"":""Social Media""}","0","{""id"":""socialmedia12"",""name"":""Sentiment Data for Equity""}","0.5474","2026-07-01","1","Number of employees in the entity (e.g., company, index, person)","entity_employee_count","2","DEU","{""id"":""socialmedia-social-media"",""name"":""Social Media""}","[]","VECTOR","TOP500","0"
"0","{""id"":""socialmedia"",""name"":""Social Media""}","0","{""id"":""socialmedia12"",""name"":""Sentiment Data for Equity""}","0.5474","2026-07-01","1","Description of the company from snapshot data","entity_profile_summary","2","DEU","{""id"":""socialmedia-social-media"",""name"":""Social Media""}","[]","VECTOR","TOP500","0"
"0","{""id"":""socialmedia"",""name"":""Social Media""}","0","{""id"":""socialmedia12"",""name"":""Sentiment Data for Equity""}","0.5474","2026-07-01","1","Business sector or industry classification for the entity","entity_sector_name","2","DEU","{""id"":""socialmedia-social-media"",""name"":""Social Media""}","[]","VECTOR","TOP500","0"
"0","{""id"":""socialmedia"",""name"":""Social Media""}","0","{""id"":""socialmedia12"",""name"":""Sentiment Data for Equity""}","0.5474","2026-07-01","1","Revenue of the company","entity_total_revenue","2","DEU","{""id"":""socialmedia-social-media"",""name"":""Social Media""}","[]","VECTOR","TOP500","0"
"0","{""id"":""socialmedia"",""name"":""Social Media""}","0","{""id"":""socialmedia12"",""name"":""Sentiment Data for Equity""}","1","2026-07-01","1","relative sentiment volume","scl12_buzz","2","DEU","{""id"":""socialmedia-social-media"",""name"":""Social Media""}","[]","MATRIX","TOP500","0"
"0","{""id"":""socialmedia"",""name"":""Social Media""}","0","{""id"":""socialmedia12"",""name"":""Sentiment Data for Equity""}","1","2026-07-01","1","sentiment","scl12_sentiment","2","DEU","{""id"":""socialmedia-social-media"",""name"":""Social Media""}","[]","MATRIX","TOP500","0"
"0","{""id"":""socialmedia"",""name"":""Social Media""}","0","{""id"":""socialmedia12"",""name"":""Sentiment Data for Equity""}","1","2026-07-01","1","The daily close price of the stock, provided as a double. This field is sourced from the 'close' column in the PulsePickPerformance files.","sentiment_close_price","2","DEU","{""id"":""socialmedia-social-media"",""name"":""Social Media""}","[]","MATRIX","TOP500","0"
"0","{""id"":""socialmedia"",""name"":""Social Media""}","0","{""id"":""socialmedia12"",""name"":""Sentiment Data for Equity""}","1","2026-07-01","1","The mean of the anticipated stock price change based on the trading signal, provided as a double. This field is sourced from the 'Mean' column in the PulsePick files.","sentiment_expected_price_change","2","DEU","{""id"":""socialmedia-social-media"",""name"":""Social Media""}","[]","MATRIX","TOP500","0"
"0","{""id"":""socialmedia"",""name"":""Social Media""}","0","{""id"":""socialmedia12"",""name"":""Sentiment Data for Equity""}","1","2026-07-01","1","The daily high price of the stock, provided as a double. This field is sourced from the 'high' column in the PulsePickPerformance files.","sentiment_high_price","2","DEU","{""id"":""socialmedia-social-media"",""name"":""Social Media""}","[]","MATRIX","TOP500","0"
"0","{""id"":""socialmedia"",""name"":""Social Media""}","0","{""id"":""socialmedia12"",""name"":""Sentiment Data for Equity""}","1","2026-07-01","1","The percentage stock price change from the daily open to the high (for a buy signal) or low (for a sell signal). This is a double calculated as 'value * 100'.","sentiment_intraday_return","2","DEU","{""id"":""socialmedia-social-media"",""name"":""Social Media""}","[]","MATRIX","TOP500","0"
"0","{""id"":""socialmedia"",""name"":""Social Media""}","0","{""id"":""socialmedia12"",""name"":""Sentiment Data for Equity""}","1","2026-07-01","1","The daily low price of the stock, provided as a double. This field is sourced from the 'low' column in the PulsePickPerformance files.","sentiment_low_price","2","DEU","{""id"":""socialmedia-social-media"",""name"":""Social Media""}","[]","MATRIX","TOP500","0"
"0","{""id"":""socialmedia"",""name"":""Social Media""}","0","{""id"":""socialmedia12"",""name"":""Sentiment Data for Equity""}","1","2026-07-01","1","The daily open price of the stock, provided as a double. This field is sourced from the 'open' column in the PulsePickPerformance files.","sentiment_open_price","2","DEU","{""id"":""socialmedia-social-media"",""name"":""Social Media""}","[]","MATRIX","TOP500","0"
"0","{""id"":""socialmedia"",""name"":""Social Media""}","0","{""id"":""socialmedia12"",""name"":""Sentiment Data for Equity""}","1","2026-07-01","1","The percentage stock price change from the daily open to the close price. This is a double calculated as 'value * 100' and sourced from the 'dayclose' field.","sentiment_open_to_close_return_pct","2","DEU","{""id"":""socialmedia-social-media"",""name"":""Social Media""}","[]","MATRIX","TOP500","0"
"0","{""id"":""socialmedia"",""name"":""Social Media""}","0","{""id"":""socialmedia12"",""name"":""Sentiment Data for Equity""}","1","2026-07-01","1","The aggregate sentiment score derived from social media and news. A value of 0 is neutral, positive values indicate positive opinion, and negative values indicate negative opinion.","sentiment_score","2","DEU","{""id"":""socialmedia-social-media"",""name"":""Social Media""}","[]","MATRIX","TOP500","0"
"0","{""id"":""socialmedia"",""name"":""Social Media""}","0","{""id"":""socialmedia12"",""name"":""Sentiment Data for Equity""}","1","2026-07-01","1","The statistical significance of the backtesting hit ratio, provided as a double. This field is sourced from the 'Significance' column in the PulsePick files.","sentiment_significance","2","DEU","{""id"":""socialmedia-social-media"",""name"":""Social Media""}","[]","MATRIX","TOP500","0"
"0","{""id"":""socialmedia"",""name"":""Social Media""}","0","{""id"":""socialmedia12"",""name"":""Sentiment Data for Equity""}","1","2026-07-01","1","The standard deviation of the anticipated stock price change based on the trading signal, provided as a double. This field is sourced from the 'StdDev' column in the PulsePick files.","sentiment_stddev","2","DEU","{""id"":""socialmedia-social-media"",""name"":""Social Media""}","[]","MATRIX","TOP500","0"
