"alphaCount","category","coverage","dataset","dateCoverage","dateCreated","delay","description","id","pyramidMultiplier","region","subcategory","themes","type","universe","userCount"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""news_sentiment_nlp"",""name"":""News Sentiment Signal Features""}","1","2026-07-01","1","Average number of words per sentence in the headline","headline_average_sentence_length","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""news_sentiment_nlp"",""name"":""News Sentiment Signal Features""}","1","2026-07-01","1","Flesch–Kincaid Grade Level readability score of the headline text","headline_flesch_kincaid_score","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""news_sentiment_nlp"",""name"":""News Sentiment Signal Features""}","1","2026-07-01","1","Flesch Reading Ease score of the headline text","headline_flesch_readability_score","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""news_sentiment_nlp"",""name"":""News Sentiment Signal Features""}","1","2026-07-01","1","Gunning Fog readability index of the headline text","headline_gunning_fog_index","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""news_sentiment_nlp"",""name"":""News Sentiment Signal Features""}","1","2026-07-01","1","Mean of the per-sentence sentiment scores within the headline","headline_sentence_sentiment_average","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""news_sentiment_nlp"",""name"":""News Sentiment Signal Features""}","1","2026-07-01","1","Maximum per-sentence sentiment score within the headline, based on the same sentiment metric used for sentence analysis (e.g., VADER compound)","headline_sentence_sentiment_maximum","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""news_sentiment_nlp"",""name"":""News Sentiment Signal Features""}","1","2026-07-01","1","Median of the per-sentence sentiment scores within the headline","headline_sentence_sentiment_median","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""news_sentiment_nlp"",""name"":""News Sentiment Signal Features""}","1","2026-07-01","1","Minimum per-sentence sentiment score within the headline","headline_sentence_sentiment_minimum","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""news_sentiment_nlp"",""name"":""News Sentiment Signal Features""}","1","2026-07-01","1","Variance of the per-sentence sentiment scores within the headline","headline_sentence_sentiment_variance","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""news_sentiment_nlp"",""name"":""News Sentiment Signal Features""}","1","2026-07-01","1","VADER compound sentiment score of the headline text, approximately ranging from -1 (negative) to 1 (positive)","headline_sentiment_vader_score","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""news_sentiment_nlp"",""name"":""News Sentiment Signal Features""}","1","2026-07-01","1","Negative polarity score from SentiWordNet for the headline text (approximately 0–1, not necessarily summing to 1 with other components)","headline_sentiwordnet_negative_polarity","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""news_sentiment_nlp"",""name"":""News Sentiment Signal Features""}","1","2026-07-01","1","Neutral polarity score from SentiWordNet for the headline text (approximately 0–1)","headline_sentiwordnet_neutral_polarity","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""news_sentiment_nlp"",""name"":""News Sentiment Signal Features""}","1","2026-07-01","1","Positive polarity score from SentiWordNet for the headline text (approximately 0–1)","headline_sentiwordnet_positive_polarity","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""news_sentiment_nlp"",""name"":""News Sentiment Signal Features""}","1","2026-07-01","1","SMOG readability index of the headline text","headline_smog_readability_index","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""news_sentiment_nlp"",""name"":""News Sentiment Signal Features""}","1","2026-07-01","1","Proportion of stop words among the words in the headline","headline_stopword_frequency","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""news_sentiment_nlp"",""name"":""News Sentiment Signal Features""}","1","2026-07-01","1","TextBlob subjectivity score of the headline, from 0 (objective) to 1 (subjective)","headline_subjectivity_score","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""news_sentiment_nlp"",""name"":""News Sentiment Signal Features""}","1","2026-07-01","1","TextBlob polarity sentiment score of the headline, approximately from -1 (negative) to 1 (positive)","headline_textblob_sentiment_score","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""news_sentiment_nlp"",""name"":""News Sentiment Signal Features""}","1","2026-07-01","1","Number of sentences detected in the headline","headline_total_sentence_count","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""news_sentiment_nlp"",""name"":""News Sentiment Signal Features""}","1","2026-07-01","1","Number of unique words in the headline","headline_unique_word_count","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""news_sentiment_nlp"",""name"":""News Sentiment Signal Features""}","1","2026-07-01","1","Negative polarity component from VADER for the headline, typically between 0 and 1","headline_vader_negative_polarity","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""news_sentiment_nlp"",""name"":""News Sentiment Signal Features""}","1","2026-07-01","1","Neutral polarity component from VADER for the headline, typically between 0 and 1","headline_vader_neutral_polarity","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""news_sentiment_nlp"",""name"":""News Sentiment Signal Features""}","1","2026-07-01","1","Positive polarity component from VADER for the headline, typically between 0 and 1","headline_vader_positive_polarity","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""news_sentiment_nlp"",""name"":""News Sentiment Signal Features""}","1","2026-07-01","1","Total number of words in the headline","headline_word_count_total","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","VECTOR","TOP500","0"
