"alphaCount","category","coverage","dataset","dateCoverage","dateCreated","delay","description","id","pyramidMultiplier","region","subcategory","themes","type","universe","userCount"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""multi_source_model"",""name"":""Multi-Source Market Return Prediction""}","0.6008","2026-07-01","1","Analyst-based prediction for the top quantile of 120-day forward returns.","analyst_quantile1_120d_pred","2","DEU","{""id"":""model-risk-based-models"",""name"":""Risk Based Models""}","[]","MATRIX","TOP500","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""multi_source_model"",""name"":""Multi-Source Market Return Prediction""}","0.6008","2026-07-01","1","Analyst-based prediction for the top quantile of 60-day forward returns.","analyst_quantile1_60d_pred","2","DEU","{""id"":""model-risk-based-models"",""name"":""Risk Based Models""}","[]","MATRIX","TOP500","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""multi_source_model"",""name"":""Multi-Source Market Return Prediction""}","0.6008","2026-07-01","1","Analyst-based prediction for the 5th quantile of 120-day forward returns.","analyst_quantile5_120d_pred","2","DEU","{""id"":""model-risk-based-models"",""name"":""Risk Based Models""}","[]","MATRIX","TOP500","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""multi_source_model"",""name"":""Multi-Source Market Return Prediction""}","0.6008","2026-07-01","1","Analyst-based prediction for the 5th quantile of 60-day forward returns.","analyst_quantile5_60d_pred","2","DEU","{""id"":""model-risk-based-models"",""name"":""Risk Based Models""}","[]","MATRIX","TOP500","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""multi_source_model"",""name"":""Multi-Source Market Return Prediction""}","0.6008","2026-07-01","1","Model confidence score for the 5th quantile of 120-day analyst-based return prediction.","analyst_quantile5_confidence_120d_pred","2","DEU","{""id"":""model-risk-based-models"",""name"":""Risk Based Models""}","[]","MATRIX","TOP500","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""multi_source_model"",""name"":""Multi-Source Market Return Prediction""}","0.6008","2026-07-01","1","Model confidence score for the 5th quantile of 60-day analyst-based return prediction.","analyst_quantile5_confidence_60d_pred","2","DEU","{""id"":""model-risk-based-models"",""name"":""Risk Based Models""}","[]","MATRIX","TOP500","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""multi_source_model"",""name"":""Multi-Source Market Return Prediction""}","0.6008","2026-07-01","1","60-day forward return prediction for the 2nd quantile using event embedding features.","event_embedding_quantile2_60d_pred","2","DEU","{""id"":""model-risk-based-models"",""name"":""Risk Based Models""}","[]","MATRIX","TOP500","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""multi_source_model"",""name"":""Multi-Source Market Return Prediction""}","0.6008","2026-07-01","1","Model confidence score for the 2nd quantile of 60-day event embedding-based return prediction.","event_embedding_quantile2_confidence_60d_pred","2","DEU","{""id"":""model-risk-based-models"",""name"":""Risk Based Models""}","[]","MATRIX","TOP500","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""multi_source_model"",""name"":""Multi-Source Market Return Prediction""}","0.6008","2026-07-01","1","120-day forward return prediction for the top quantile using fundamental data.","fundamental_quantile1_120d_pred","2","DEU","{""id"":""model-risk-based-models"",""name"":""Risk Based Models""}","[]","MATRIX","TOP500","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""multi_source_model"",""name"":""Multi-Source Market Return Prediction""}","0.6008","2026-07-01","1","60-day forward return prediction for the top quantile using fundamental data.","fundamental_quantile1_60d_pred","2","DEU","{""id"":""model-risk-based-models"",""name"":""Risk Based Models""}","[]","MATRIX","TOP500","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""multi_source_model"",""name"":""Multi-Source Market Return Prediction""}","0.6008","2026-07-01","1","Long-term hedge signal for the top quantile over 120 days, designed for low correlation with main signals.","long_horizon_hedge3_quantile1_120d_pred","2","DEU","{""id"":""model-risk-based-models"",""name"":""Risk Based Models""}","[]","MATRIX","TOP500","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""multi_source_model"",""name"":""Multi-Source Market Return Prediction""}","0.6008","2026-07-01","1","Long-term hedge signal for the top quantile over 60 days, designed for low correlation with main signals.","long_horizon_hedge3_quantile1_60d_pred","2","DEU","{""id"":""model-risk-based-models"",""name"":""Risk Based Models""}","[]","MATRIX","TOP500","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""multi_source_model"",""name"":""Multi-Source Market Return Prediction""}","0.6008","2026-07-01","1","Long-term hedge signal for the 2nd quantile over 60 days, designed for low correlation with main signals.","long_horizon_hedge_quantile2_60d_pred","2","DEU","{""id"":""model-risk-based-models"",""name"":""Risk Based Models""}","[]","MATRIX","TOP500","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""multi_source_model"",""name"":""Multi-Source Market Return Prediction""}","0.6008","2026-07-01","1","Model confidence score for the 2nd quantile of 60-day long-term hedge signal.","long_horizon_hedge_quantile2_confidence_60d_pred","2","DEU","{""id"":""model-risk-based-models"",""name"":""Risk Based Models""}","[]","MATRIX","TOP500","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""multi_source_model"",""name"":""Multi-Source Market Return Prediction""}","0.6008","2026-07-01","1","Long-horizon return prediction for the top quantile over a 120-day period.","long_term_quantile1_120d_pred","2","DEU","{""id"":""model-risk-based-models"",""name"":""Risk Based Models""}","[]","MATRIX","TOP500","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""multi_source_model"",""name"":""Multi-Source Market Return Prediction""}","0.6008","2026-07-01","1","Long-horizon return prediction for the top quantile over a 60-day period.","long_term_quantile1_60d_pred","2","DEU","{""id"":""model-risk-based-models"",""name"":""Risk Based Models""}","[]","MATRIX","TOP500","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""multi_source_model"",""name"":""Multi-Source Market Return Prediction""}","0.6008","2026-07-01","1","Long-horizon return prediction for the 5th quantile over a 120-day period.","long_term_quantile5_120d_pred","2","DEU","{""id"":""model-risk-based-models"",""name"":""Risk Based Models""}","[]","MATRIX","TOP500","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""multi_source_model"",""name"":""Multi-Source Market Return Prediction""}","0.6008","2026-07-01","1","Long-horizon return prediction for the 5th quantile over a 60-day period.","long_term_quantile5_60d_pred","2","DEU","{""id"":""model-risk-based-models"",""name"":""Risk Based Models""}","[]","MATRIX","TOP500","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""multi_source_model"",""name"":""Multi-Source Market Return Prediction""}","0.6008","2026-07-01","1","Model confidence score for the 5th quantile bucket of 120-day long-term return prediction.","long_term_quantile5_confidence_120d_pred","2","DEU","{""id"":""model-risk-based-models"",""name"":""Risk Based Models""}","[]","MATRIX","TOP500","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""multi_source_model"",""name"":""Multi-Source Market Return Prediction""}","0.6008","2026-07-01","1","Model confidence score for the 5th quantile bucket of 60-day long-term return prediction.","long_term_quantile5_confidence_60d_pred","2","DEU","{""id"":""model-risk-based-models"",""name"":""Risk Based Models""}","[]","MATRIX","TOP500","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""multi_source_model"",""name"":""Multi-Source Market Return Prediction""}","0.6008","2026-07-01","1","Long-horizon return prediction for the top quantile over 120 days, adjusted for two-phase market regime.","long_term_regime2_quantile1_120d_pred","2","DEU","{""id"":""model-risk-based-models"",""name"":""Risk Based Models""}","[]","MATRIX","TOP500","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""multi_source_model"",""name"":""Multi-Source Market Return Prediction""}","0.6008","2026-07-01","1","Long-horizon return prediction for the top quantile over 60 days, adjusted for two-phase market regime.","long_term_regime2_quantile1_60d_pred","2","DEU","{""id"":""model-risk-based-models"",""name"":""Risk Based Models""}","[]","MATRIX","TOP500","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""multi_source_model"",""name"":""Multi-Source Market Return Prediction""}","0.6008","2026-07-01","1","Long-horizon return prediction for the top quantile over 120 days, adjusted for four-phase market regime.","long_term_regime4_quantile1_120d_pred","2","DEU","{""id"":""model-risk-based-models"",""name"":""Risk Based Models""}","[]","MATRIX","TOP500","0"
