"alphaCount","category","coverage","dataset","dateCoverage","dateCreated","delay","description","id","pyramidMultiplier","region","subcategory","themes","type","universe","userCount"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""global_seasonal_model"",""name"":""Global Seasonal Regime Return Signals""}","1","2026-07-01","1","First summary feature derived from analyst consensus or guidance metadata.","analyst_metadata_feature1","2","GBR","{""id"":""model-estimates-models"",""name"":""Estimates Models""}","[]","MATRIX","TOP700","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""global_seasonal_model"",""name"":""Global Seasonal Regime Return Signals""}","1","2026-07-01","1","Second summary feature derived from analyst consensus or guidance metadata.","analyst_metadata_feature2","2","GBR","{""id"":""model-estimates-models"",""name"":""Estimates Models""}","[]","MATRIX","TOP700","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""global_seasonal_model"",""name"":""Global Seasonal Regime Return Signals""}","0.6008","2026-07-01","1","Model confidence score for the 0th quantile bucket in 20-day return prediction using price-volume features.","confidence_bucket0_pricevol_20d","2","GBR","{""id"":""model-estimates-models"",""name"":""Estimates Models""}","[]","MATRIX","TOP700","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""global_seasonal_model"",""name"":""Global Seasonal Regime Return Signals""}","0.6008","2026-07-01","1","Model confidence score for the 0th quantile bucket in 5-day return prediction using price-volume features.","confidence_bucket0_pricevol_5d","2","GBR","{""id"":""model-estimates-models"",""name"":""Estimates Models""}","[]","MATRIX","TOP700","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""global_seasonal_model"",""name"":""Global Seasonal Regime Return Signals""}","0.6008","2026-07-01","1","Model confidence score for the 0th quantile bucket in 20-day return prediction using price-volume and calendar features.","confidence_bucket0_pricevol_calendar_20d","2","GBR","{""id"":""model-estimates-models"",""name"":""Estimates Models""}","[]","MATRIX","TOP700","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""global_seasonal_model"",""name"":""Global Seasonal Regime Return Signals""}","0.6008","2026-07-01","1","Model confidence score for the 0th quantile bucket in 5-day return prediction using price-volume and calendar features.","confidence_bucket0_pricevol_calendar_5d","2","GBR","{""id"":""model-estimates-models"",""name"":""Estimates Models""}","[]","MATRIX","TOP700","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""global_seasonal_model"",""name"":""Global Seasonal Regime Return Signals""}","0.6008","2026-07-01","1","Model confidence score for the 0th quantile bucket in 20-day return prediction using price-volume and month/quarter features.","confidence_bucket0_pricevol_monthquarter_20d","2","GBR","{""id"":""model-estimates-models"",""name"":""Estimates Models""}","[]","MATRIX","TOP700","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""global_seasonal_model"",""name"":""Global Seasonal Regime Return Signals""}","0.6008","2026-07-01","1","Model confidence score for the 0th quantile bucket in 60-day return prediction using price-volume and month/quarter features.","confidence_bucket0_pricevol_monthquarter_60d","2","GBR","{""id"":""model-estimates-models"",""name"":""Estimates Models""}","[]","MATRIX","TOP700","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""global_seasonal_model"",""name"":""Global Seasonal Regime Return Signals""}","0.6008","2026-07-01","1","Model confidence score for the 0th quantile bucket in 5-day return prediction using time series and calendar features.","confidence_bucket0_timeseries_calendar_5d","2","GBR","{""id"":""model-estimates-models"",""name"":""Estimates Models""}","[]","MATRIX","TOP700","0"
"0","{""id"":""model"",""name"":""Model""}","0","{""id"":""global_seasonal_model"",""name"":""Global Seasonal Regime Return Signals""}","0.6008","2026-07-01","1","Model confidence score for the 0th quantile bucket in 5-day return prediction using time series and event features.","confidence_bucket0_timeseries_event_5d","2","GBR","{""id"":""model-estimates-models"",""name"":""Estimates Models""}","[]","MATRIX","TOP700","0"
